Sample Names,lung_cocci_S13-15588,lung_cocci_S15-7163,lung_cocci_S16-1593,lung_control_S16-1234,lung_control_S16-430,lung_control_S16-455,lung_sarc_ng07-1929,lung_sarc_ng14-2391,lung_sarc_S01-274,lung_sarc_S08-13633,lung_sarc_S08-8308,lung_sarc_S14-1820,lymph_control_LN2,lymph_control_LN4,lymph_control_LN5,lymph_sarc_S01-01562,lymph_sarc_S03-06811,lymph_sarc_S08-11588-2,lymph_sarc_S10-5712,lymph_sarc_S10-8898,lymph_sarc_S11-16399,lymph_sarc_S11-3356,lymph_sarc_S11-5747,lymph_sarc_S12-10867-2,lymph_sarc_S12-11588,lymph_sarc_S15-2130,lymph_sarc_S16-3789,lymph_TB_S07-1722,lymph_TB_S10-2574,lymph_TB_S11-5890,lymph_TB_S13-12712
GeneName,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM
SFRP4,1030.681778,393.083177,2057.09438,190.539781,284.325335,176.339044,898.089943,257.237513,477.735505,357.874147,131.041604,151.182978,181.371898,37.971401,91.163148,125.734742,81.341229,95.669183,71.44822,69.939209,89.190204,48.774532,675.582102,32.888368,87.822437,53.437433,85.588172,197.628733,407.759355,479.409091,549.864346
SGK1,1444.142655,1873.008397,876.251479,1044.695762,1429.038955,1465.654508,969.072157,494.022458,1425.388587,1028.448987,1366.547728,1103.424429,529.824001,810.960639,583.717474,1172.23901,812.524932,990.502624,918.677507,1447.844725,1071.883537,1028.146157,1486.468025,1298.242913,1443.041311,1070.059998,517.098666,1218.478851,2336.973934,1755.996187,1223.915517
SH2B1,262.334517,328.520912,232.695248,171.394299,253.628834,208.349635,72.203939,278.433809,234.658099,186.591465,256.906507,242.526696,367.826924,413.229585,268.103261,233.97759,258.911597,259.34417,259.775095,313.008031,196.463321,187.33616,180.467563,320.746356,223.496233,175.802596,305.826214,191.169209,134.054438,180.3274,132.010266
SH3PXD2A,206.052976,138.61123,279.036336,148.870202,108.203153,143.95406,415.142107,67.307539,313.318477,328.511402,206.763554,199.688317,197.72631,80.301764,112.547096,159.21385,159.724595,212.470113,160.456431,162.217722,155.400038,127.652915,279.790313,99.682271,159.789363,121.299693,137.638399,213.654894,243.386063,167.582197,179.033262
SHC2,248.368356,138.43555,180.505285,134.933417,128.667487,168.195999,385.82071,113.697679,185.465294,224.110528,163.01535,115.548362,144.095626,61.219198,185.622318,125.452615,101.060315,154.453862,131.861033,136.355681,112.076391,92.933839,57.157432,38.313254,80.796642,69.829283,150.754724,176.042475,108.329349,77.590729,66.458069
SHC3,49.194236,91.529088,173.036722,59.829632,63.971186,88.450317,0.122172,267.556762,162.492615,217.33451,118.252106,66.562772,84.203119,27.025564,51.128538,159.684063,138.033601,209.012191,113.092786,43.046122,115.278574,107.933319,47.506259,60.690907,40.920508,66.960709,56.450007,162.305766,55.793373,66.481735,95.940087
SHC4,11.047858,10.277258,83.233992,17.94889,4.914663,4.024723,337.073888,225.629,80.825342,120.964473,38.977518,13.639125,63.575933,13.270617,35.532726,94.606694,56.396586,117.569357,60.251712,26.893086,59.805469,57.165849,15.179515,30.175926,27.438577,35.242478,51.303094,72.363024,25.140427,40.388515,48.83474
SHH,26.994295,17.567963,7.918477,23.016811,15.952512,19.281233,440.065294,78.091619,28.264815,13.928482,1.421055,10.94972,0.957691,1.065524,0,6.488928,2.36629,0.384214,8.618895,1.116965,1.412728,7.027728,3.654328,0,18.22909,0.409796,43.748755,22.730984,7.015933,7.147648,0.164704
SHMT1,151.022135,126.050136,299.282442,114.380179,152.83796,114.845014,214.046195,487.979655,206.633836,374.061302,263.808775,98.739582,364.585509,162.443979,325.341498,225.137601,200.937485,210.549045,175.922111,111.954286,230.745511,159.959487,81.144813,97.986995,103.48806,138.10134,211.604511,259.525693,164.87443,140.541699,149.963003
SIL1,100.160298,149.152008,208.489903,110.579237,120.368957,101.179675,479.404834,349.181098,228.163206,284.718247,177.225903,134.566297,177.025455,129.315869,153.787568,242.817579,223.318647,215.159608,175.116607,153.797523,174.613134,179.993757,97.073933,96.969828,92.759482,120.644019,177.734507,186.91737,110.918563,128.485426,132.99849
